# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
A1,GND_D,GND,,,,,,,,,,,
A2,GND_D,GND,,,,,,,,,,,
A3,,MGTXTXN3_118,,,,,,,,,,,
A4,,MGTXTXP3_118,,,,,,,,,,,
A5,GND_D,GND,,,,,,,,,,,
A6,GND_D,GND,,,,,,,,,,,
A7,AD9695_4_SERDOUT1_n,MGTXRXN3_118,,,,,,,,,,,
A8,AD9695_4_SERDOUT1_p,MGTXRXP3_118,,,,,,,,,,,
A9,GND_D,GND,,,,,,,,,,,
A10,INIT_B,INIT_B_0,,,,,,,,,,,
A11,FROM_FPGA_TO_AD9695_1_SDIO,IO_L17P_T2_18,,,,,,,,,,,
A12,,IO_L17N_T2_18,,,,,,,,,,,
A13,FROM_FPGA_TO_AD9695_2_SDIO,IO_L22N_T3_18,,,,,,,,,,,
A14,GND_D,GND,,,,,,,,,,,
A15,FROM_FPGA_TO_AD9695_4_FDA,IO_L24N_T3_18,,,,,,,,,,,
A16,AD9148_1_A0_P,IO_L20P_T3_17,,,,,,,,,,,
A17,AD9148_1_A0_N,IO_L20N_T3_17,,,,,,,,,,,
A18,AD9148_1_A1_N,IO_L22N_T3_17,,,,,,,,,,,
A19,VCCO_17_2V5,VCCO_17,,,,,,,,,,,
A20,AD9148_1_A5_P,IO_L21P_T3_DQS_17,,,,,,,,,,,
A21,AD9148_1_A5_N,IO_L21N_T3_DQS_17,,,,,,,,,,,
A22,AD9148_1_A4_N,IO_L23N_T3_17,,,,,,,,,,,
A23,AD9148_1_B0_N,IO_L1N_T0_16,,,,,,,,,,,
A24,GND_D,GND,,,,,,,,,,,
A25,AD9148_1_B2_P,IO_L10P_T1_16,,,,,,,,,,,
A26,AD9148_1_B2_N,IO_L10N_T1_16,,,,,,,,,,,
A27,AD9148_1_B3_N,IO_L7N_T1_16,,,,,,,,,,,
A28,AD9148_1_B4_N,IO_L9N_T1_DQS_16,,,,,,,,,,,
A29,VCCO_16_2V5,VCCO_16,,,,,,,,,,,
A30,AD9148_1_B5_N,IO_L17N_T2_16,,,,,,,,,,,
AA1,GND_D,GND,,,,,,,,,,,
AA2,GND_D,GND,,,,,,,,,,,
AA3,up_link_rx0_n,MGTXRXN0_115,,,,,,,,,,,
AA4,up_link_rx0_p,MGTXRXP0_115,,,,,,,,,,,
AA5,GND_D,GND,,,,,,,,,,,
AA6,GND_D,GND,,,,,,,,,,,
AA7,GND_D,GND,,,,,,,,,,,
AA8,DDR3_DQ9,IO_L2P_T0_33,,,,,,,,,,,
AA9,VCCO_33_1V5,VCCO_33,,,,,,,,,,,
AA10,DDR3_DQ14,IO_L5N_T0_33,,,,,,,,,,,
AA11,DDR3_DQ13,IO_L5P_T0_33,,,,,,,,,,,
AA12,DDR3_UDM,IO_L1P_T0_33,,,,,,,,,,,
AA13,DDR3_DQ15,IO_L6P_T0_33,,,,,,,,,,,
AA14,GND_D,GND,,,,,,,,,,,
AA15,,IO_L20P_T3_32,,,,,,,,,,,
AA16,,IO_L23N_T3_32,,,,,,,,,,,
AA17,,IO_L23P_T3_32,,,,,,,,,,,
AA18,,IO_L16P_T2_32,,,,,,,,,,,
AA19,VCCO_32_2V5,VCCO_32,,,,,,,,,,,
